"site_code","year","ID","latitude","longitude","site_name","ecoregion","realm","area","SumTSAfull","Buffer10Km","HumanPopDensity","IUCN_CAT","IUCN_Ia","STATUS_YR","MPA","sampling_effort","sr","Reg_BS_BM_pvalue","Reg_BS_BM_coef","rho_bs_tl","rho_bs_tl_pvalue","cwm_size"
"BMP-S23",2009,"BMP-S23_2009",-35.77133,150.23296,"Lilly Pilly North","Cape Howe","Temperate Australasia","New South Wales",164.23,0,32.663972915408,"IV",0,2006,1,2,32,0.0356013319849262,0.503882419021874,-0.39186225124292,0.0265498990471495,42.4992548885492
"BMP-S24",2010,"BMP-S24_2010",-36.01152,150.16517,"Bingi Bingi Point Nth","Cape Howe","Temperate Australasia","New South Wales",89.59,0,25.5598013161707,"II",0,2018,0,2,47,5.89915680562374e-08,0.882946477484836,0.221288822330938,0.134958743448087,84.5879588127498
"BMP-S25",2010,"BMP-S25_2010",-36.01291,150.16603,"Bingi Bingi Point","Cape Howe","Temperate Australasia","New South Wales",89.59,0,25.6615073001479,"II",0,2018,0,2,36,0.0522155772949329,0.46457683022244,-0.061543087970039,0.721417451257923,111.516758229307
"BMP-S25",2011,"BMP-S25_2011",-36.01291,150.16603,"Bingi Bingi Point","Cape Howe","Temperate Australasia","New South Wales",89.59,0,25.6615073001479,"II",0,2018,0,2,34,9.23107224335747e-05,0.903458315252988,0.117792022027744,0.507033059514164,159.741407360269
"BMP-S26",2010,"BMP-S26_2010",-35.99157,150.15918,"Mullimburra Point","Cape Howe","Temperate Australasia","New South Wales",75.67,0,24.3483946621811,"IV",0,2018,0,2,26,0.00299597159296617,0.681427076648508,0.448392240614785,0.0215941775500167,68.8791809791954
"BMP-S27",2010,"BMP-S27_2010",-35.68546,150.30408,"Flat Rock South","Cape Howe","Temperate Australasia","New South Wales",101.38,0,31.2403562249136,"IV",0,2006,1,2,27,0.000624567766872675,0.799979466041595,0.0454203266623409,0.822011154415094,65.9791436292547
"BMP-S28",2010,"BMP-S28_2010",-35.69019,150.29786,"Richmond Point","Cape Howe","Temperate Australasia","New South Wales",101.38,0,30.9137771223882,"IV",0,2006,1,2,27,4.80657991497524e-05,0.779871352589551,-0.0409307348353855,0.839367096970364,54.5414733157054
"BMP-S29",2010,"BMP-S29_2010",-35.66796,150.31036,"Wasp Island","Cape Howe","Temperate Australasia","New South Wales",101.38,0,30.4604271740202,"VI",0,2006,1,2,32,0.000667505874346877,0.606338929335616,0.148138923867588,0.418435444827596,42.5468178162952
"BMP-S32",2010,"BMP-S32_2010",-36.26515,150.15226,"Bogola Point","Cape Howe","Temperate Australasia","New South Wales",138.3,0,21.2680379363827,"II",0,2018,0,3,33,0.00163909708719038,0.542832055079377,0.00570474423936426,0.974864530061386,71.5450651765783
"BMP-S33",2010,"BMP-S33_2010",-36.26173,150.15152,"Bogola North","Cape Howe","Temperate Australasia","New South Wales",138.3,0,21.234813015881,"II",0,2018,0,3,34,0.000395143621385698,0.736112130789314,-0.0370605915069466,0.835161180705065,78.1159525170817
"BMP-S36",2010,"BMP-S36_2010",-35.71223,150.27862,"Honeysuckle Bay","Cape Howe","Temperate Australasia","New South Wales",110.93,0,30.1008487169036,"II",0,2018,0,2,31,7.57702552500612e-08,0.760277061495557,0.253874035788972,0.168164741985197,146.178891634247
"BMP-S36",2012,"BMP-S36_2012",-35.71223,150.27862,"Honeysuckle Bay","Cape Howe","Temperate Australasia","New South Wales",110.93,0,30.1008487169036,"II",0,2018,0,2,29,0.0014059495280126,0.480368360230948,0.154056596486712,0.424923982965094,112.538945858973
"BMP-S37",2010,"BMP-S37_2010",-35.86214,150.18729,"Broulee Is South","Cape Howe","Temperate Australasia","New South Wales",131.58,0,35.5243485975387,"VI",0,2006,1,2,30,0.000413945845848283,0.545356324446652,0.0291192818388431,0.878597086429807,110.051306852578
"BMP2",2008,"BMP2_2008",-36.09276,150.13934,"Potato Point - Bills Bommie","Cape Howe","Temperate Australasia","New South Wales",82.68,0,19.6020514977483,"VI",0,2006,1,3,30,0.00733164341552636,0.596578822393525,-0.40264039878528,0.0273862726386961,84.9590461927601
"BMP2",2009,"BMP2_2009",-36.09276,150.13934,"Potato Point - Bills Bommie","Cape Howe","Temperate Australasia","New South Wales",82.68,0,19.6020514977483,"VI",0,2006,1,2,23,0.00910695863447688,0.610772792515656,0.130424904090746,0.553076100000069,299.271793230013
"BMP27",2013,"BMP27_2013",-35.74794,150.26006,"Caulerpa Reef","Cape Howe","Temperate Australasia","New South Wales",114.78,0,32.2291023341464,"II",0,2006,1,2,28,0.000707648220097215,0.583883572777312,0.0549909774081811,0.781067263212536,70.6661353202864
"BOCAS7",2015,"BOCAS7_2015",9.33324,-82.21558,"Hospital Point","Southwestern Caribbean","Tropical Atlantic","Bocas del Toro",300.54,1,78.4209137962464,"II",0,1988,0,2,46,8.34593563820237e-08,0.735014810037972,0.380060791022386,0.010017735381238,7.32397207467878
"BR10",2011,"BR10_2011",-37.81811,148.78479,"Nth East Beware Reef (Ridge Park)","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.935539949708691,"II",0,2002,1,2,44,6.39465752874197e-07,0.884783190444735,-0.172667941865428,0.262364242395762,160.416916055544
"BR10",2012,"BR10_2012",-37.81811,148.78479,"Nth East Beware Reef (Ridge Park)","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.935539949708691,"II",0,2002,1,3,42,3.35002509303794e-08,0.972437593006265,-0.0541161304486633,0.733571757452976,169.70908826224
"BR10",2013,"BR10_2013",-37.81811,148.78479,"Nth East Beware Reef (Ridge Park)","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.935539949708691,"II",0,2002,1,2,35,0.00107781682953335,0.71705183681611,-0.16874630314897,0.332528624133099,102.21639508936
"BR10",2014,"BR10_2014",-37.81811,148.78479,"Nth East Beware Reef (Ridge Park)","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.935539949708691,"II",0,2002,1,3,45,3.31920458448083e-07,0.702092295214452,-0.0342845734541853,0.823082837456598,181.922389913817
"BR10",2015,"BR10_2015",-37.81811,148.78479,"Nth East Beware Reef (Ridge Park)","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.935539949708691,"II",0,2002,1,2,47,2.4319127041523e-10,0.944983200538539,-0.153723927011178,0.30223723055352,225.758217860791
"BR11",2008,"BR11_2008",-37.81828,148.7838,"Ridge Park","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.940411704568302,"II",0,2002,1,4,43,1.25323148664997e-07,1.09599041000374,0.135763443797222,0.385363622456239,241.865147907456
"BR11",2009,"BR11_2009",-37.81828,148.7838,"Ridge Park","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.940411704568302,"II",0,2002,1,2,35,0.000133326777905238,0.891354845593773,-0.0719824481812835,0.681129856105606,203.599530310383
"BR11",2010,"BR11_2010",-37.81828,148.7838,"Ridge Park","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.940411704568302,"II",0,2002,1,3,37,4.61685733770358e-06,0.932819518324649,-0.0640710317866436,0.706366915846134,135.326149714792
"BR11",2016,"BR11_2016",-37.81828,148.7838,"Ridge Park","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.940411704568302,"II",0,2002,1,5,46,3.40579565800543e-07,0.853617511640647,-0.0314680820521469,0.835537699516648,195.826673460948
"BR11",2017,"BR11_2017",-37.81828,148.7838,"Ridge Park","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.940411704568302,"II",0,2002,1,3,36,2.65358255408149e-06,0.947108261479532,-0.245134280386821,0.14958735417128,250.161683842512
"BR11",2018,"BR11_2018",-37.81828,148.7838,"Ridge Park","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.940411704568302,"II",0,2002,1,2,35,4.21580274435196e-06,0.819422038963914,-0.192824295972552,0.267089834260333,132.806417753573
"BR13",2012,"BR13_2012",-37.81963,148.78596,"Seal Gully","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.937031649123998,"II",0,2002,1,4,26,2.50909167596577e-05,0.93571305710074,0.192243343711572,0.34677702905364,193.394563584775
"BR13",2013,"BR13_2013",-37.81963,148.78596,"Seal Gully","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.937031649123998,"II",0,2002,1,2,24,2.35430908630892e-06,1.03650829130131,0.445774024126128,0.0290205631500395,104.805196297518
"BR13",2016,"BR13_2016",-37.81963,148.78596,"Seal Gully","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.937031649123998,"II",0,2002,1,2,18,7.08926803867546e-05,0.897373183205153,0.151527064371435,0.548369855573954,165.035350416324
"BR2",2010,"BR2_2010",-37.79535,148.78586,"East Yeerung","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.864437609098453,"II",0,2002,0,2,15,0.00147126631990055,0.920058769082177,0.435441047352577,0.104735783297939,138.627559105154
"BR3",2008,"BR3_2008",-37.81905,148.78351,"Auckland","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.943426309747899,"II",0,2002,1,7,46,0.000183891072103532,0.771981491970284,-0.215868363353222,0.149627410205324,207.605908781463
"BR3",2009,"BR3_2009",-37.81905,148.78351,"Auckland","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.943426309747899,"II",0,2002,1,8,51,9.35243764696606e-08,0.889096463804533,-0.024940115303463,0.862085924578517,138.198826607122
"BR3",2010,"BR3_2010",-37.81905,148.78351,"Auckland","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.943426309747899,"II",0,2002,1,5,43,0.000814548933513563,0.728307695748884,-0.180564777121596,0.246575845556468,95.6144591915039
"BR3",2011,"BR3_2011",-37.81905,148.78351,"Auckland","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.943426309747899,"II",0,2002,1,4,34,0.000138682608621368,0.944380556120458,-0.0743999572605627,0.675818318795095,101.288059260644
"BR3",2012,"BR3_2012",-37.81905,148.78351,"Auckland","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.943426309747899,"II",0,2002,1,4,36,1.94420670048948e-06,1.18839986202172,0.0880823182350598,0.609465055501309,159.887213887254
"BR3",2013,"BR3_2013",-37.81905,148.78351,"Auckland","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.943426309747899,"II",0,2002,1,3,33,4.42813696502044e-05,0.760657850025034,0.0604388209085087,0.738294301592344,212.673107430562
"BR3",2014,"BR3_2014",-37.81905,148.78351,"Auckland","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.943426309747899,"II",0,2002,1,2,36,8.01842926201368e-06,0.80704957779654,0.0217536075498307,0.899787293904605,147.134169795574
"BR3",2016,"BR3_2016",-37.81905,148.78351,"Auckland","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.943426309747899,"II",0,2002,1,2,34,0.0274132579537036,0.47637836988905,-0.0275220720575439,0.877210534553651,114.159095264698
"BR3",2017,"BR3_2017",-37.81905,148.78351,"Auckland","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.943426309747899,"II",0,2002,1,2,32,9.38589138760196e-05,0.732834715116245,-0.0884193993735289,0.630360085701682,154.576287261595
"BR3",2018,"BR3_2018",-37.81905,148.78351,"Auckland","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.943426309747899,"II",0,2002,1,2,35,7.52048976899755e-05,0.740865201120437,-0.164176141715223,0.345977210901591,135.467016134222
"BR5",2010,"BR5_2010",-37.8223,148.7885,"Mid Pinnacle","Cape Howe","Temperate Australasia","Victoria",155.88,0,0.938642354119382,"II",0,2002,1,3,21,0.00746831777201121,0.971860893225035,-0.0609260642487857,0.793055087005033,98.9205197964961
"BR7",2009,"BR7_2009",-37.82491,148.79058,"Sth Pinnacle Beware Reef","Cape Howe","Temperate Australasia","Victoria",128.88,0,0.945368687036541,"II",0,2002,1,2,25,1.35641306769392e-06,1.10906406781455,-0.18259929238127,0.382318227082435,175.328838270343
"BR9",2009,"BR9_2009",-37.78976,148.89565,"East Pearl Point","Cape Howe","Temperate Australasia","Victoria",174.1,0,0.219797466642381,"II",0,2002,0,3,12,0.00210241584812387,0.976818289597483,0.332219140703617,0.291406263292526,198.916403147451
"BRA7",2012,"BRA7_2012",-17.47842,-39.02808,"TIM2","Eastern Brazil","Tropical Atlantic","Bahia",34.87,1,95.3033143096283,"II",0,1983,1,2,26,3.91958629444213e-10,1.20822811932937,0.133681844782642,0.533449715464443,61.7723805168162
"CAN1",2011,"CAN1_2011",28.16443,-16.42887,"El Poris","Azores Canaries Madeira","Temperate Northern Atlantic","Canary Islands",55.74,0,244.931109014851,"",0,NA,0,2,17,0.607987256318026,0.286480245788786,0.1663704359652,0.523353051519809,21.7427567231031
"CAN10",2011,"CAN10_2011",28.40099,-16.32476,"Radazul","Azores Canaries Madeira","Temperate Northern Atlantic","Canary Islands",41.99,0,880.747356873654,"",0,NA,0,2,23,0.178280506787756,0.418937195706031,0.116068677730144,0.597921502766871,14.6837031348586
"CAN102",2015,"CAN102_2015",29.39154,-13.49591,"ALEGRANZA","Azores Canaries Madeira","Temperate Northern Atlantic","Canary Islands",79.76,0,72.8484947422573,"II",0,1987,1,2,10,0.019850043983391,0.953546598105102,0.149212297630959,0.680768648226802,324.33217134268
"CAN103",2015,"CAN103_2015",29.38316,-13.51538,"Alegranza South","Azores Canaries Madeira","Temperate Northern Atlantic","Canary Islands",79.76,0,71.8875890577162,"II",0,1987,1,2,9,0.238329428241616,0.591434430746415,-0.0524623062587002,0.893369490713277,45.2060451314494
"CAN16",2012,"CAN16_2012",28.3416,-16.9198,"Teno Norte","Azores Canaries Madeira","Temperate Northern Atlantic","Canary Islands",57.46,0,195.665281224655,"Not Reported",0,2011,1,2,20,0.102077100075215,0.79585882350874,0.214627784018237,0.363511361550843,17.2778025925561
"CAN18",2012,"CAN18_2012",28.3429,-16.9213,"Faro de Teno","Azores Canaries Madeira","Temperate Northern Atlantic","Canary Islands",57.46,0,194.433122684131,"Not Reported",0,2011,1,2,20,0.480323235093769,-0.252226480975605,0.261810438083294,0.264828333544662,14.753856408043
"CAN19",2012,"CAN19_2012",28.4013,-16.3312,"Tabaiba Norte","Azores Canaries Madeira","Temperate Northern Atlantic","Canary Islands",41.99,0,869.941931201128,"",0,NA,0,2,13,0.0743378768161232,0.957935753148542,-0.500734640615811,0.0813446270540476,15.9889857217173
"CAN21",2012,"CAN21_2012",28.29452,-16.37373,"Puertito de GÃ¼Ã­mar","Azores Canaries Madeira","Temperate Northern Atlantic","Canary Islands",49.81,0,523.787919307448,"",0,NA,0,2,15,0.764670817382464,0.194007025033446,-0.133581841753654,0.63506223041244,23.7436135631458
"CAN25",2012,"CAN25_2012",28.4061,-16.3148,"Costa Caricia Sur","Azores Canaries Madeira","Temperate Northern Atlantic","Canary Islands",41.99,0,906.892567329088,"",0,NA,0,2,15,0.648053289355324,0.142242583417788,-0.0719443078836193,0.79888120631315,26.4320721233798
"CAN36",2012,"CAN36_2012",28.4021,-16.3283,"Acantilado de Radazul","Azores Canaries Madeira","Temperate Northern Atlantic","Canary Islands",41.99,0,877.816408720341,"",0,NA,0,2,21,0.0324615925814245,0.758592275215365,0.107262422662851,0.643522913887811,48.195621501934
"CAN48",2012,"CAN48_2012",28.3733,-16.7526,"Garachico Puerto","Azores Canaries Madeira","Temperate Northern Atlantic","Canary Islands",76.05,0,317.871495146457,"Not Reported",0,2014,0,2,16,0.204956410697361,0.894370124728347,-0.330454789112004,0.211269501845714,30.3224761891504
"CAN52",2012,"CAN52_2012",28.0871,-16.4903,"Unelco Granadilla Art","Azores Canaries Madeira","Temperate Northern Atlantic","Canary Islands",45.35,0,314.410436698736,"Not Reported",0,2011,0,2,16,0.730720709806481,-0.170277190563156,0.255639940168738,0.339263633998012,17.099786597175
"CAN53",2012,"CAN53_2012",28.0882,-16.4898,"UNELCO GRANADILLA NAT","Azores Canaries Madeira","Temperate Northern Atlantic","Canary Islands",45.35,0,314.458963477537,"Not Reported",0,2011,0,2,12,0.0123948202911312,1.78407783727532,-0.13982896351412,0.66470405687088,40.6521065457115
"CAN56",2012,"CAN56_2012",28.079,-16.738,"Puerto ColÃ³n Nat","Azores Canaries Madeira","Temperate Northern Atlantic","Canary Islands",43.9,0,354.962238933729,"Not Reported",0,2011,1,2,14,0.650760232396887,0.194650431761445,-0.227191777990109,0.434733917141592,18.7823904922112
"CAN59",2012,"CAN59_2012",28.022,-16.609,"Marina San Miguel","Azores Canaries Madeira","Temperate Northern Atlantic","Canary Islands",40.06,0,361.477250868012,"Not Reported",0,2011,1,2,11,0.513169971814357,0.363760314525477,-0.444520671945982,0.170736975417419,24.9412693046889
"CAN95",2015,"CAN95_2015",28.86073,-13.84738,"PLAYA BLANCA","Azores Canaries Madeira","Temperate Northern Atlantic","Canary Islands",67.84,0,108.009020227447,"Not Reported",0,2014,1,2,9,0.800854823053335,-0.224268820464511,-0.280914655150387,0.464034903917519,19.2417990738346
"CAN97",2015,"CAN97_2015",28.85653,-13.84244,"PLAYA FLAMINGO","Azores Canaries Madeira","Temperate Northern Atlantic","Canary Islands",67.84,0,109.130720265706,"Not Reported",0,2014,0,2,11,0.505427030528895,0.439155907351844,-0.531643327898671,0.0923475437738224,3.81014728217062
"CAR12",2011,"CAR12_2011",13.37159,-81.40394,"Sena","Southwestern Caribbean","Tropical Atlantic","Archipelago of San Andres, Providencia and Santa Catalina",64.32,1,277.567136803452,"Not Reported",0,2005,1,2,50,1.30941717263901e-06,0.565476714518462,0.0627621299886007,0.665016402871941,18.4840675911841
"CAT1",2015,"CAT1_2015",41.67201,2.80208,"La Seca","Western Mediterranean","Temperate Northern Atlantic","Catalonia",59.58,0,442.816959846696,"V",0,1992,0,2,11,0.0407874655719723,1.07372457004508,0.0789035154893015,0.817624186402399,6.13231022861115
"CAT3",2015,"CAT3_2015",41.72075,2.94003,"Isla Tossa","Western Mediterranean","Temperate Northern Atlantic","Catalonia",62.54,0,414.157824038465,"Not Reported",0,2006,0,2,14,0.313606745350003,0.444786651594811,-0.294045019846479,0.307525645482419,5.72333343526983
"CAT4",2015,"CAT4_2015",41.67664,2.80984,"San Fransesc","Western Mediterranean","Temperate Northern Atlantic","Catalonia",59.58,0,438.56287255266,"V",0,1992,0,2,11,0.280471975376031,1.04260050383439,-0.188352643739204,0.579149065021504,9.23205232746323
"CAT5",2015,"CAT5_2015",41.68194,2.81625,"S'Agulla","Western Mediterranean","Temperate Northern Atlantic","Catalonia",58.07,0,430.621905392573,"V",0,1992,1,2,20,0.145802001938061,0.627519120854693,0.157734313546551,0.506584295961053,10.4481889488123
"CAT6",2015,"CAT6_2015",41.77099,3.03041,"Port Salvi","Western Mediterranean","Temperate Northern Atlantic","Catalonia",67.63,0,377.757963379916,"V",0,1992,1,2,13,0.0326226346852259,0.973710642189873,0.210659562937687,0.489674247431653,6.58920850499959
"CAT7",2015,"CAT7_2015",41.77135,3.03164,"Port Salvi Norte","Western Mediterranean","Temperate Northern Atlantic","Catalonia",67.63,0,376.027683567321,"V",0,1992,1,2,13,0.0384036812242325,1.40066696354278,0.150009260116686,0.624734365527609,9.68858351436401
"CBC1",2016,"CBC1_2016",16.77618,-88.0754,"South Reef","Western Caribbean","Tropical Atlantic","Belize",106.02,1,21.0491309072457,"IV",0,1996,1,3,59,0.0237307456078758,0.372752048353267,0.240863192727657,0.0685544569711838,5.37264736529488
"CBC14",2016,"CBC14_2016",16.86828,-88.06617,"Tobacco Reef 30","Western Caribbean","Tropical Atlantic","Belize",102.17,1,21.0491310081097,"IV",0,1996,1,2,49,4.63541712357219e-06,0.689946133705538,0.353841105161044,0.013615117620631,9.75836665644631
"CBC17",2016,"CBC17_2016",16.78,-88.10123,"Curlew patch reef","Western Caribbean","Tropical Atlantic","Belize",115.38,1,21.0491309874508,"IV",0,1996,1,3,53,0.013172608712043,0.51881873838447,0.203782120067942,0.147330235362035,3.35713021073839
"CBC2",2016,"CBC2_2016",16.8021,-88.07882,"CBC Reef","Western Caribbean","Tropical Atlantic","Belize",102.97,1,21.0491309041128,"IV",0,1996,1,2,43,7.74370756785786e-06,0.698945951337413,0.281537541141965,0.070880763616298,9.99540221084077
"CG1",2009,"CG1_2009",-31.68207,152.90948,"Nth of Pinnacles (662)","Manning-Hawkesbury","Temperate Australasia","New South Wales",119.64,0,69.9406372019621,"II",0,2018,0,3,37,2.6500742329791e-08,0.818276792105237,0.2507149963051,0.134466468124561,539.081568937819
"CG2",2009,"CG2_2009",-31.68128,152.91078,"Cod Gardens (CODGAR)","Manning-Hawkesbury","Temperate Australasia","New South Wales",119.64,0,70.4347279726885,"II",0,2018,0,2,28,0.000205178318198897,0.681170742960063,0.345018560358487,0.0721607139393501,110.907842030188
"CG8",2016,"CG8_2016",-31.68254,152.90945,"Cod Grounds Pinnacles","Manning-Hawkesbury","Temperate Australasia","New South Wales",119.64,0,69.8558243267957,"II",0,2018,0,2,33,2.21345465610703e-06,0.9334104804909,0.365702925942087,0.0363568435868402,121.729246616427
"CHMP-S3",2015,"CHMP-S3_2015",-37.564,149.9179,"Gabo Boulder Bay","Cape Howe","Temperate Australasia","Victoria",91.21,0,2.34319966254634,"II",0,2002,0,2,25,2.00677126148064e-09,0.955387609875343,0.510176494239069,0.00917298759810754,1406.96093356069
"CHMP-S9",2011,"CHMP-S9_2011",-37.55564,149.90763,"Gabo Harbour","Cape Howe","Temperate Australasia","Victoria",91.21,0,2.1634290233354,"II",0,2002,0,3,44,0.000459518189545702,0.615872913713616,0.09703186343308,0.530928923155793,32.8059105622108
"CI1",2010,"CI1_2010",-10.42962,105.66814,"Flying Fish Cove Boat Ramp","Cocos-Keeling/Christmas Island","Central Indo-Pacific","Christmas Island",95.32,1,18.5312225179213,"",0,NA,0,3,111,9.46936352316143e-19,0.83121983106652,0.0550518994562582,0.56965217119114,24.9121107005002
"COO18",2013,"COO18_2013",-35.53778,138.69255,"Pullen Island","Western Bassian","Temperate Australasia","South Australia",94.69,0,30.6743560709354,"II",0,2009,1,2,16,0.00190435170430001,0.869057579098883,0.0638485563776698,0.81427397391031,70.0839864701768
"CS132",2017,"CS132_2017",-16.93157,149.99043,"Chilcott Islet SW inner reef","Coral Sea","Central Indo-Pacific","Queensland",42.37,1,0,"Not Reported",0,2002,1,2,69,8.52639153469916e-18,0.788337397595575,0.201446792815646,0.0994942718061439,113.779893186012
"EI11",2012,"EI11_2012",-27.14517,-109.43736,"The Moai Easter Island","Easter Island","Eastern Indo-Pacific","Easter Island",25.3,0,39.6096077524262,"IV",0,2018,0,2,28,0.000271817958066998,0.605387829009285,0.166873205638519,0.396033777744642,26.8131275777122
